Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-20,2015-11-20,2015-11-20,2015-11-20,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
Hampton Inn New York - LaGuardia Airport,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hampton Inn New York Chelsea,-1,-1,-1,-1,-1,33,31,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,-1,79,94,84,87,-1,-1,-1,-1,100,90,83,79,89,67,67,62,-1,-1,-1,-1,-1,-1,-1,66,96,76,71,67,-1,-1,-1,-1,-1,-1,-1,-1,78,74,-1,71,81,68,-1,-1,-1,-1,-1,-1,-1,71,70,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,75,75,43,44,-1,-1,-1,-1,-1,-1,-1,-1,56,52,-1,42,57,-1,50,59,-1,-1,-1,-1,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,30,-1,-1,36,43,-1,50,-1,-1
Hampton Inn Times Square North,14,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,3,-1,-1,100,-1,-1,-1,-1,50,53,-1,52,49,-1,-1,73,-1,65,-1,-1,-1,-1,-1,-1,49,-1,62,63,59,-1,52,51,30,29,-1,40,38,52,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,17,-1,-1,-1,-1,66,52,-1,-1,-1,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hilton Garden Inn New York Central Park South-Midtown West,11,24,15,24,-1,19,19,13,18,14,11,18,41,1,18,8,-1,-1,26,0,-1,29,6,-1,64,78,-1,-1,-1,48,57,-1,73,66,-1,-1,100,-1,88,92,-1,74,51,64,54,51,42,52,88,55,51,51,61,59,54,53,-1,28,52,68,-1,65,91,63,51,65,54,51,63,58,60,43,-1,49,-1,-1,57,61,64,58,-1,44,-1,50,-1,-1,77,-1,60,43,-1,78,54,-1,47,55,-1,44,46,-1,-1,-1,-1,-1,38,39,41,25,49,51,47,33,-1,41,28,-1,39,44,-1,-1,-1,48,-1,-1,30,37,43,16,-1,-1,-1,-1,34,33,28,-1,46,-1,27,57,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,29,5,-1,29,23,17,-1,-1,-1,-1
Hilton Garden Inn New York Long Island City,19,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,8,-1,-1,20,-1,11,11,6,-1,-1,16,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,76,-1,-1,94,-1,-1,-1,-1,-1,69,89,100,-1,-1,44,-1,41,29,26,32,-1,27,-1,-1,-1,-1,-1,-1,-1,71,74,-1,-1,33,-1,32,-1,59,-1,-1,-1,57,64,63,36,37,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,18,29,13,16,16,-1,-1,-1,-1,-1,-1,9,12,13,-1,-1,-1,29,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,15,16,12,9,-1,25,22,21
Hilton Garden Inn New York Manhattan-Chelsea,-1,31,-1,17,-1,-1,-1,-1,17,16,15,16,-1,16,-1,14,-1,-1,7,11,24,7,8,-1,-1,54,50,-1,-1,68,38,-1,49,44,49,51,80,72,79,-1,51,56,60,-1,59,34,39,-1,-1,-1,43,44,-1,-1,-1,-1,63,56,-1,-1,100,-1,90,69,-1,47,45,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,45,47,-1,37,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,49,52,35,33,33,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,24,-1,20,17,32,27,16,16,16,-1,15,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,1,21,33,-1,-1,41,38,37,37,-1,-1,-1,-1
Hilton Garden Inn New York Manhattan-Midtown East,21,30,-1,-1,-1,27,17,17,13,19,18,-1,4,4,6,19,-1,18,0,6,29,18,15,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,80,84,-1,-1,78,89,-1,80,100,66,-1,67,58,79,-1,-1,-1,-1,-1,-1,64,63,-1,-1,96,-1,-1,-1,-1,80,81,-1,76,68,-1,74,81,-1,-1,65,56,-1,95,-1,-1,67,67,-1,-1,-1,-1,62,-1,-1,60,61,59,61,54,73,-1,-1,72,-1,-1,-1,-1,46,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,64,-1,-1,-1,-1,-1,33,27,-1,26,-1,-1,41,33,44,-1,-1,-1,-1,-1,26,-1,8,-1,3,-1,-1,16,16,16,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,52,54
Hilton Garden Inn New York Midtown Park Ave,16,18,23,27,-1,16,14,8,20,18,23,18,11,17,11,18,-1,8,10,6,27,15,16,21,43,43,51,-1,-1,42,44,30,54,-1,47,-1,76,78,90,100,59,57,59,-1,48,44,44,48,-1,-1,-1,-1,46,42,35,45,56,51,55,45,-1,-1,70,68,74,57,59,57,-1,46,38,45,-1,-1,-1,-1,53,59,55,57,-1,-1,44,77,-1,61,66,-1,46,51,59,48,-1,38,33,33,46,35,42,48,-1,-1,-1,-1,40,44,35,41,-1,-1,-1,-1,35,32,29,27,34,38,38,46,-1,-1,-1,-1,25,31,-1,-1,-1,-1,-1,-1,25,28,34,23,29,25,-1,23,-1,-1,7,7,-1,18,9,0,11,13,24,30,-1,34,27,24,49,38,-1,-1
Hilton Garden Inn New York West 35th Street,19,11,17,9,12,16,12,11,30,11,11,8,2,10,13,9,14,2,0,0,11,18,15,19,41,39,46,46,44,36,33,26,49,46,36,44,49,52,57,61,50,39,42,42,34,31,23,38,54,57,57,54,-1,51,43,44,58,57,50,46,100,66,65,61,51,48,49,46,-1,44,37,42,64,59,48,51,49,44,42,42,33,32,33,-1,52,55,62,-1,37,-1,-1,32,45,38,45,42,49,53,43,44,65,56,55,61,-1,34,27,-1,-1,23,19,17,37,36,23,30,-1,-1,35,-1,-1,-1,-1,-1,9,13,18,-1,-1,-1,-1,18,31,34,16,10,12,22,22,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,26,29,-1,26,15,9,43,34,34,-1
Hilton Garden Inn New York-Times Square Central,25,24,29,26,-1,-1,-1,2,2,4,19,24,-1,-1,-1,-1,-1,-1,0,0,-1,13,13,4,-1,57,67,61,51,45,42,58,83,65,65,-1,-1,-1,91,93,72,76,42,40,70,56,47,62,-1,71,79,76,81,-1,-1,69,93,43,71,76,-1,-1,-1,66,74,71,-1,59,72,80,-1,75,72,80,64,69,77,64,88,63,58,61,60,57,-1,64,76,-1,59,63,63,59,-1,67,-1,-1,-1,60,75,-1,60,-1,-1,-1,43,41,-1,-1,44,38,-1,28,45,-1,27,42,60,39,-1,-1,-1,-1,-1,-1,32,-1,37,33,44,5,28,30,41,-1,-1,-1,19,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,19,-1,100,54,32,17,-1,-1,-1,-1
Hilton Garden Inn Times Square,39,46,48,39,40,35,32,38,21,32,25,25,-1,24,22,16,22,25,22,-1,15,-1,24,13,88,81,75,71,-1,58,52,65,83,81,70,78,83,87,100,96,77,78,69,77,48,46,35,35,56,68,79,73,60,61,64,50,51,49,42,36,75,86,95,82,81,75,66,77,69,62,59,76,58,64,55,73,-1,67,77,58,63,65,49,67,72,72,72,-1,64,70,64,65,61,48,52,43,63,59,63,59,78,80,74,-1,36,40,-1,32,37,42,30,36,27,29,27,-1,-1,-1,-1,-1,50,49,51,-1,36,35,31,32,-1,21,21,19,44,21,40,40,25,35,-1,25,16,24,26,-1,-1,30,0,6,-1,21,28,30,43,33,21,17,66,46,36,50
Hilton Garden Inn Tribeca,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,-1,-1,100,-1,90,92,-1,83,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,58,-1,52,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,47,-1,45,46,-1,65,-1,-1,68,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,33,26,-1,-1,-1,56,-1,-1
Hilton Manhattan East,-1,25,19,9,-1,16,12,15,-1,13,10,14,-1,-1,15,-1,-1,4,3,-1,34,31,22,23,-1,-1,-1,-1,-1,-1,-1,-1,51,41,37,37,-1,87,100,81,-1,78,70,52,-1,70,62,83,-1,80,86,91,-1,79,-1,-1,60,49,63,59,57,94,69,88,-1,56,63,67,73,65,58,48,67,70,66,59,57,67,-1,92,-1,-1,-1,50,-1,-1,-1,-1,49,53,-1,-1,40,49,48,46,57,-1,-1,-1,-1,-1,-1,-1,40,42,41,47,-1,-1,39,25,43,37,29,41,56,45,-1,-1,-1,39,40,-1,26,28,33,51,25,30,24,-1,48,49,45,-1,-1,-1,-1,-1,0,0,-1,-1,-1,6,3,-1,-1,-1,19,16,-1,-1,-1,-1,57,-1,-1,-1
Hilton New York Fashion District,-1,16,19,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,45,49,-1,-1,-1,-1,53,45,100,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,44,-1,-1,69,81,-1,-1,-1,-1,-1,57,-1,-1,-1,-1,-1,66,43,-1,43,53,-1,-1,-1,-1,-1,-1,45,32,-1,53,80,82,-1,-1,-1,-1,-1,-1,-1,-1,37,42,70,-1,58,59,54,-1,52,-1,-1,-1,-1,-1,-1,-1,34,31,34,37,44,35,28,26,47,47,35,33,-1,52,46,-1,42,-1,-1,37,22,29,33,-1,-1,-1,22,13,48,41,-1,25,23,19,52,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,30,-1,42,35,-1,36,-1,-1,-1,-1
Hilton New York JFK Airport,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,27,-1,-1,-1,20,17,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,22,20,-1,-1,-1,-1,-1,11,0,35,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hilton Newark Airport,21,41,41,-1,-1,-1,41,21,0,41,30,-1,21,41,41,-1,-1,-1,41,21,54,-1,50,-1,8,31,54,-1,-1,-1,37,15,77,67,44,-1,34,50,54,-1,-1,-1,50,-1,83,67,-1,-1,70,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,44,57,-1,100,-1,-1,-1,-1,-1,-1,-1,37,57,77,-1,-1,-1,57,37,-1,57,73,90,37,54,70,-1,-1,-1,50,34,-1,67,50,-1,-1,70,80,-1,34,50,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,-1,-1,50,67,83,34,50,67,-1,-1,-1,50,37,-1,67,57,-1,11,37,54,77,-1,-1,-1,-1,-1,-1,-1,-1,37,24,-1,15,37,-1,44,15,-1,-1,44,-1
Hilton Times Square,38,44,51,-1,39,29,-1,38,41,37,48,-1,21,23,40,36,37,11,9,49,-1,-1,26,31,-1,-1,70,65,41,78,52,58,65,66,76,71,-1,71,77,90,66,62,61,59,60,58,45,-1,76,80,100,82,76,71,68,68,70,66,60,78,89,86,84,83,54,57,70,54,53,-1,57,74,-1,65,65,-1,84,87,94,65,-1,70,51,66,-1,88,73,73,-1,64,78,65,85,-1,47,75,58,73,55,-1,-1,54,60,70,41,42,52,51,52,46,51,39,47,55,34,52,48,55,48,52,50,52,51,-1,43,30,46,41,42,44,28,47,53,32,32,45,48,30,36,34,29,0,19,29,13,24,16,-1,-1,23,20,33,-1,36,45,31,73,54,40,36
Holiday Inn New York JFK Airport Area,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,78,-1,-1,73,83,-1,-1,79,89,-1,-1,-1,-1,-1,-1,69,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,-1,-1,71,66,-1,-1,-1,-1,-1,-1,43,-1,-1,-1,25,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,21,-1,-1,-1,12,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,-1,-1,1,-1,-1,-1,-1,-1,14,2
Home2 Suites by Hilton NY Long Island City Manhattan View,12,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,27,30,-1,8,5,-1,-1,8,-1,-1,69,-1,69,65,52,55,55,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,-1,100,-1,-1,-1,-1,-1,42,40,-1,76,-1,89,-1,36,36,50,40,-1,-1,-1,17,-1,-1,-1,-1,44,50,55,55,-1,-1,-1,-1,-1,30,40,-1,19,28,34,32,-1,-1,-1,-1,-1,40,40,-1,-1,36,-1,-1,19,23,27,28,21,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,22,21,-1,-1,-1,-1,-1,-1,-1,-1,0,4,6,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,-1,8,13,-1,-1,-1,-1,-1,-1
Homewood Suites by Hilton NY Midtown Manhattan Times Square,22,27,31,33,43,37,33,22,-1,-1,-1,-1,-1,-1,-1,-1,33,20,4,0,48,19,17,44,70,68,77,61,-1,68,31,45,77,-1,47,-1,72,-1,68,68,-1,73,67,45,80,50,48,42,79,-1,100,-1,-1,42,44,66,79,60,-1,-1,-1,-1,-1,-1,60,70,63,57,-1,54,55,-1,70,77,59,70,-1,-1,-1,64,66,54,71,-1,-1,78,72,-1,77,72,72,58,-1,63,-1,-1,66,80,-1,-1,-1,63,58,-1,6,12,20,50,-1,2,63,50,40,69,67,-1,70,69,80,-1,-1,30,45,-1,21,17,21,45,-1,29,-1,-1,33,31,13,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,2,42,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hotel 48LEX New York,-1,-1,-1,-1,-1,-1,-1,11,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,-1,-1,98,100,-1,-1,-1,-1,-1,-1,-1,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1,80,82,-1,-1,26,-1,-1,-1,-1,52,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,71,-1,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Howard Johnson Bronx Near Stadium,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,20,-1,-1,43,52,-1,39,48,57,-1,44,53,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,36,45,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,17,-1,0,8,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,24,-1,-1,-1,-1,-1,-1,39,49,-1,28,38,48,-1,-1,-1,-1,-1,-1,74,87,-1,73,86,100,-1
Howard Johnson Express Inn Bronx,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,100,-1,0,22,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,100,-1,-1,-1,-1,-1,-1,77,-1,-1,0,22,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,34,-1
Howard Johnson Flushing,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,84,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,4,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,15,-1,-1,-1,-1,-1,-1,54,21,31,54,0,10,-1,-1
Howard Johnson Inn Jamaica JFK Airport NYC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,60,-1,33,39,-1,-1,-1,29,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,0,6,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,0,5,-1,-1
