Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-20,2015-11-20,2015-11-20,2015-11-20,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
The Out NYC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,-1,36,-1,-1,-1,-1,-1,-1,33,-1,96,100,-1,-1,66,46,24,44,54,62,43,-1,56,35,-1,48,42,42,46,40,34,34,39,7,9,62,69,60,40,55,59,-1,-1,-1,-1,49,43,27,-1,22,17,17,22,11,19,6,10,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Pearl New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,0,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Peninsula New York,0,35,36,-1,35,31,-1,-1,0,35,36,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,60,62,-1,22,22,22,22,-1,-1,-1,-1,36,37,39,-1,36,37,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,37,39,-1,-1,-1,-1,-1,-1,37,39,-1,36,37,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,39,-1,36,37,39,-1,-1,39,37,36,-1,39,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Plaza Hotel,8,10,0,8,-1,8,2,8,17,14,7,-1,11,12,3,11,-1,11,8,-1,-1,-1,-1,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,92,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,96,96,87,42,96,-1,79,83,39,83,-1,52,39,42,87,47,50,97,49,94,76,83,42,40,-1,-1,39,35,38,39,36,33,35,38,36,32,31,35,-1,35,35,47,36,34,35,33,47,30,34,34,38,30,30,36,29,30,30,36,38,34,34,31,36,39,42,39,-1,-1,-1,-1,38,38,38,38,36,35,34,31,36,34,35,-1,34,36,-1,-1,36,21,21,-1,29,21,30,-1,48,-1,49,46
The Premier Hotel New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,16,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,24,36,9,38,28,41,48,35,24,11,36,19,31,39,23,13,20,30,14,0,4,14,46,-1,-1,-1,-1,-1,-1,69,-1,-1,56,69,-1,42,-1,-1,40,45,-1,-1,-1,-1,-1,-1
The Roger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,92,90,68,69,67,70,68,66,69,66,75,78,74,74,90,86,86,86,76,76,80,79,57,60,59,60,54,53,54,52,56,58,56,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,45,45,-1,45,-1,-1,65,16,-1,-1,-1,-1
The Roosevelt Hotel New York City,15,-1,-1,15,-1,-1,-1,-1,25,11,14,15,18,12,14,15,12,11,11,-1,-1,-1,-1,-1,59,-1,-1,-1,69,63,28,74,-1,52,66,-1,-1,78,84,94,42,43,39,70,35,16,70,-1,71,-1,-1,53,42,43,52,52,94,46,74,-1,-1,73,78,78,57,49,49,47,43,43,36,100,57,43,65,57,59,62,61,61,40,47,46,50,60,50,56,78,54,46,52,59,39,44,43,45,-1,46,50,-1,35,50,36,50,57,46,74,26,29,30,25,32,-1,-1,-1,-1,47,49,-1,-1,-1,29,31,32,22,21,25,26,15,15,11,-1,13,18,14,22,23,23,22,26,7,1,7,-1,0,19,1,19,22,-1,15,-1,36,33,33,-1,43,-1,-1,42
The Shoreham Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,24,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,-1,74,-1,100,87,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The St. Regis New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,77,84,-1,-1,-1,-1,67,75,82,88,-1,85,100,-1,-1,-1,-1,-1,91,83,85,70,-1,-1,-1,-1,-1,-1,-1,-1,78,18,24,29,6,12,18,23,16,11,-1,17,10,-1,5,10,59,-1,47,-1,-1,50,56,-1,72,65,65,72,-1,65,59,52,-1,69,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,56,-1,65,-1,-1,-1,-1,-1,-1,15,-1,0,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Standard East Village,100,-1,-1,-1,21,-1,22,19,16,6,11,15,-1,-1,-1,-1,34,31,27,25,-1,47,-1,33,-1,-1,-1,-1,67,68,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,84,-1,-1,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,64,67,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,64,67,65,55,59,89,83,67,57,61,49,44,-1,56,43,37,-1,-1,-1,46,-1,-1,-1,64,64,62,59,55,55,60,52,43,51,-1,-1,51,48,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,55,52,-1,59,28,-1,53,-1,-1,26,45,-1,-1,38,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The SunBright,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,88,70,-1,-1,88,-1,-1,-1,-1,88,-1,-1,68,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,88,-1,-1,57,75,-1,25,44,-1,-1
The Towers of the Waldorf Astoria New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,12,3,6,0,9,31,35,11,17,2,3,9,54,50,55,-1,-1,27,31,-1,33,29,-1,-1,27,-1,-1,48,51,-1,-1,-1,-1,-1,-1,-1,-1,24,27,-1,28,30,40,-1,19,-1,-1,-1,40,-1,-1,-1,-1,34,35,31,33,-1,-1,24,-1,31,31,32,27,-1,-1,-1,-1,-1,-1,-1,45,45,38,42,-1,34,-1,-1,-1,-1,22,21,-1,-1,-1,-1,21,68,-1,-1,-1,27,-1,-1,51,-1,35,-1,-1,-1,-1,-1,40,10,35,26,32,40,-1,-1,27,22,-1,21,-1,-1,-1,-1,-1,19,-1,-1,-1,3,5,11,11,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,26,-1,-1,-1,42,21,17,37,100
The Westin New York Grand Central,19,24,28,28,17,-1,-1,-1,14,14,16,-1,15,16,19,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,59,-1,-1,61,58,56,-1,-1,-1,-1,-1,67,73,85,-1,73,70,68,-1,-1,-1,-1,57,66,67,-1,78,-1,-1,52,-1,-1,-1,-1,-1,70,76,100,42,56,62,55,-1,-1,-1,40,-1,-1,46,-1,-1,54,57,-1,57,-1,-1,46,-1,55,-1,-1,47,48,52,-1,-1,-1,47,-1,55,50,-1,-1,-1,50,55,-1,32,37,40,47,-1,28,-1,21,-1,-1,31,31,-1,44,41,-1,-1,-1,-1,-1,21,23,26,38,-1,-1,-1,17,-1,-1,27,-1,-1,27,29,-1,-1,-1,0,-1,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
United Nations Apartment Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,66,82,82,100,56,41,71,-1,-1,-1,64,71,-1,-1,-1,-1,-1,-1,-1,-1,71,64,-1,-1,48,-1,-1,-1,-1,66,56,79,69,66,82,-1,69,-1,-1,-1,71,64,-1,-1,69,35,82,-1,30,5,35,-1,38,64,-1,-1,-1,-1,-1,-1,-1,69,-1,74,89,-1,23,21
Viceroy New York,18,21,38,26,16,-1,-1,-1,8,11,14,15,0,5,10,13,6,7,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,59,78,74,89,-1,32,58,-1,84,65,92,86,47,70,59,85,73,60,68,68,76,61,70,70,50,57,27,-1,100,41,63,94,-1,82,90,86,65,60,68,50,57,78,64,72,86,55,75,74,57,54,59,66,47,60,54,78,76,75,72,78,54,60,66,64,55,47,32,33,66,42,45,61,71,68,52,72,40,44,47,44,34,32,30,34,62,47,42,-1,60,57,-1,-1,-1,-1,48,45,-1,26,32,51,-1,-1,37,42,46,39,35,46,28,35,40,33,10,2,2,-1,4,4,17,1,21,18,15,25,-1,28,44,-1,76,52,-1,-1
W New York,18,17,21,33,-1,17,17,-1,-1,21,25,-1,3,7,11,-1,-1,-1,-1,-1,-1,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,80,-1,-1,-1,77,79,82,82,80,75,68,79,84,69,76,82,-1,50,44,38,61,56,56,74,61,69,77,83,59,67,70,-1,-1,76,54,-1,-1,-1,-1,-1,-1,97,100,-1,81,84,88,-1,-1,-1,-1,-1,-1,83,90,69,-1,78,-1,-1,-1,-1,76,-1,-1,79,69,82,37,63,40,54,-1,-1,-1,63,-1,55,52,-1,88,65,78,-1,-1,58,-1,-1,57,57,57,-1,-1,-1,38,51,-1,41,57,-1,-1,-1,-1,-1,-1,7,0,-1,-1,7,17,-1,-1,-1,-1,-1,-1,60,56,-1,-1,86,-1,-1
W New York - Downtown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,90,73,-1,-1,-1,-1,80,-1,-1,-1,-1,100,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,78,-1,-1,97,93,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,65,60,-1,-1,-1,-1,-1
W New York - Union Square,-1,0,4,8,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1,-1,85,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,67,-1,-1,-1,-1,-1,-1,71,68,-1,-1,72,-1,-1,73,77,81,-1,-1,73,77,-1,-1,60,56,54,-1,65,62,90,60,64,68,-1,-1,66,62,59,-1,64,67,-1,70,52,55,-1,-1,55,52,49,70,62,59,-1,-1,79,84,100,-1,62,68,-1,-1,62,-1,-1,64,57,52,-1,75,70,-1,-1,-1,-1,74,81,58,55,61,67,-1,63,59,56,62,56,50,-1,20,23,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1
W New York Times Square,32,35,28,41,-1,20,19,44,26,15,20,46,3,2,11,-1,-1,6,28,27,13,-1,-1,-1,71,-1,69,82,-1,-1,-1,-1,-1,-1,-1,-1,87,-1,83,84,72,68,-1,82,-1,-1,-1,58,65,71,76,85,74,82,-1,54,86,-1,-1,-1,-1,-1,-1,-1,-1,71,78,85,-1,-1,-1,-1,53,-1,71,-1,68,70,75,86,59,59,61,66,-1,-1,-1,-1,-1,-1,100,56,82,42,44,50,-1,-1,-1,-1,-1,58,57,64,46,41,46,52,28,27,30,33,48,39,37,31,54,52,46,60,-1,44,50,55,26,33,25,42,-1,15,24,26,-1,34,33,26,18,24,28,37,-1,3,0,5,8,8,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Waldorf Astoria New York,-1,-1,-1,-1,5,5,9,6,7,12,10,20,14,25,17,17,43,16,4,8,20,22,20,32,81,-1,-1,-1,-1,-1,49,49,27,27,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,43,24,29,48,-1,-1,-1,-1,-1,89,38,64,-1,76,-1,-1,-1,-1,-1,66,60,53,-1,-1,-1,-1,-1,51,51,56,50,-1,-1,-1,-1,66,-1,68,68,74,60,-1,-1,-1,-1,-1,-1,-1,45,43,-1,53,-1,53,-1,-1,100,86,-1,58,72,-1,-1,-1,-1,-1,-1,64,66,62,59,-1,70,61,64,57,59,19,39,37,18,35,-1,-1,-1,-1,-1,-1,-1,29,43,18,28,37,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,36,-1,47,68,57,-1,-1,76,-1
Westin New York at Times Square,24,25,29,-1,-1,26,-1,24,18,21,28,-1,13,16,22,29,-1,-1,-1,-1,12,24,20,18,-1,-1,84,-1,51,53,58,-1,-1,62,57,-1,-1,100,74,88,42,43,49,-1,-1,35,32,35,61,59,62,80,-1,-1,-1,-1,-1,72,-1,83,76,82,88,-1,31,35,38,71,-1,36,-1,29,-1,49,37,40,50,54,58,91,-1,54,47,44,-1,69,72,-1,47,52,55,-1,57,50,47,42,-1,53,47,62,-1,56,65,-1,29,33,37,-1,37,31,29,24,-1,44,41,55,62,53,66,-1,45,50,55,-1,42,46,49,52,-1,30,25,23,-1,35,32,52,34,39,41,-1,-1,15,0,16,-1,22,-1,19,-1,38,30,31,-1,35,33,29,-1,55,52,-1
Wyndham Garden - Manhattan Chelsea West,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,46,-1,-1,-1,34,40,-1,33,38,47,-1,70,44,44,-1,-1,25,-1,-1,-1,32,20,-1,36,26,49,-1,36,16,-1,-1,1,12,0,1,0,0,2,-1,-1,-1,28,-1,-1,-1,-1,-1,57,57,58,-1
Wyndham Garden Brooklyn Sunset Park,-1,62,-1,-1,69,69,-1,-1,48,28,27,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,57,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,-1,76,86,-1,-1,-1,-1,-1,-1,81,-1,-1,-1,53,96,-1,-1,-1,-1,-1,77,49,53,-1,100,92,-1,-1,-1,53,61,75,-1,66,53,75,-1,49,53,-1,-1,53,81,57,84,-1,53,64,-1,53,49,49,64,40,43,-1,64,58,53,57,-1,43,33,57,-1,15,10,-1,-1,15,-1,-1,-1,-1,15,-1,-1,10,15,-1,9,10,15,-1,-1,13,5,-1,-1,13,18,-1,-1,-1,13,-1,-1,5,13,-1,-1,4,18,-1,-1,0,4,-1,1,0,4,-1,-1,-1,2,-1,-1,0,4,-1,-1,0,24,-1
Wyndham Garden Chinatown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,72,76,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,69,-1,75,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,47,-1,-1,-1,-1,-1,-1,1,12,-1,0,7,9,-1,-1,-1,-1,-1,-1,38,49,-1,55,57,-1,-1
Wyndham Garden Long Island City Manhattan View,-1,44,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,33,-1,-1,30,33,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,50,-1,-1,50,53,-1,-1
Wyndham New Yorker,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,23,-1,64,5,62,57,18,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,32,34,34,-1,33,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,44,24,-1
ink48 hotel a Kimpton Hotel,-1,44,70,-1,-1,51,-1,-1,13,13,18,-1,-1,-1,-1,-1,0,9,15,-1,22,15,9,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,78,-1,97,69,67,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,-1,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,85,-1,88,66,82,78,-1,88,90,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,35,-1,-1,66,-1,-1,70,-1,-1
